test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
test_set_3,1,10,0.24925,0.12975505548964725,0.73907787,0.2275132275132275,0.0,0.2515184980673661,0.0,0.086,0.0,0.911,0.0,0.610469,nan,0.7577855,nan
test_set_3,3,10,0.25525,0.13647033784742477,0.7408945,0.2756756756756757,0.0,0.253168044077135,0.0,0.102,0.0,0.919,0.0,0.58778983,nan,0.75688934,nan
test_set_3,5,10,0.2465,0.12678865558085536,0.7350647,0.2036082474226804,0.0,0.2511074197120709,0.0,0.079,0.0,0.907,0.0,0.6111659,nan,0.7472924,nan
test_set_3,7,10,0.25025,0.13268502737197674,0.7370751,0.24552429667519182,0.0,0.25076198392906623,0.0,0.096,0.0,0.905,0.0,0.61184675,nan,0.75450844,nan
test_set_3,9,10,0.24725,0.12911490683229815,0.7318781,0.2175,0.0,0.25055555555555553,0.0,0.087,0.0,0.902,0.0,0.59299546,nan,0.74696356,nan
test_set_3,19,10,0.25375,0.13762574158405266,0.73072284,0.24776785714285715,0.0,0.2545045045045045,0.0,0.111,0.0,0.904,0.0,0.5839182,nan,0.75148183,nan
test_set_3,0,20,0.2565,0.16785995180323904,0.7500762,0.2624369142033165,0.0,0.2533486414083429,0.0,0.364,0.0,0.662,0.0,0.72278553,nan,0.77706265,nan
test_set_3,1,20,0.25175,0.16373337222006973,0.7462542,0.2365371506475801,0.0,0.26056060007895776,0.0,0.347,0.0,0.66,0.0,0.7105068,nan,0.7688423,nan
test_set_3,3,20,0.25875,0.16859684036836356,0.7463575,0.25872093023255816,0.0,0.25876524390243905,0.0,0.356,0.0,0.679,0.0,0.70972633,nan,0.7638516,nan
test_set_3,5,20,0.24825,0.16164474361784442,0.74429816,0.23613963039014374,0.0,0.25521858999606145,0.0,0.345,0.0,0.648,0.0,0.71985006,nan,0.7622687,nan
test_set_3,7,20,0.2545,0.1646866442433623,0.7475876,0.24415204678362573,0.0,0.25987841945288753,0.0,0.334,0.0,0.684,0.0,0.71250886,nan,0.7698138,nan
test_set_3,9,20,0.26,0.1701372449703555,0.7457393,0.25649794801641584,0.0,0.2620173364854216,0.0,0.375,0.0,0.665,0.0,0.7102822,nan,0.75978696,nan
test_set_3,19,20,0.25625,0.16758410984293812,0.74203223,0.2496617050067659,0.0,0.26011102299762096,0.0,0.369,0.0,0.656,0.0,0.7305652,nan,0.7539775,nan
test_set_3,0,30,0.25325,0.16876421869391928,0.78800887,0.25594949004371054,0.0,0.250386398763524,0.0,0.527,0.0,0.486,0.0,0.787809,nan,0.78854334,nan
test_set_3,1,30,0.24875,0.16584681819025512,0.79206765,0.2454943984413054,0.0,0.25218284540318436,0.0,0.504,0.0,0.491,0.0,0.7945956,nan,0.7830694,nan
test_set_3,3,30,0.2605,0.17368318512843878,0.7870464,0.25696140693698094,0.0,0.2642089093701997,0.0,0.526,0.0,0.516,0.0,0.7935328,nan,0.77838194,nan
test_set_3,5,30,0.2545,0.16971859817857632,0.78470826,0.24730656219392752,0.0,0.26200204290091933,0.0,0.505,0.0,0.513,0.0,0.7850493,nan,0.7789502,nan
test_set_3,7,30,0.25825,0.1719979619072995,0.7900669,0.25906735751295334,0.0,0.25732551944592436,0.0,0.55,0.0,0.483,0.0,0.7939373,nan,0.7829352,nan
test_set_3,9,30,0.2575,0.1716666116067064,0.7895481,0.25345402572653647,0.0,0.26196738558653343,0.0,0.532,0.0,0.498,0.0,0.78591335,nan,0.79026884,nan
test_set_3,19,30,0.2585,0.17216730593737523,0.78619707,0.2569702602230483,0.0,0.2602813852813853,0.0,0.553,0.0,0.481,0.0,0.80330366,nan,0.78298146,nan
